Song,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id_Spotify,Link_Spotify,type,uri,track_href,analysis_url,Link_YouTube,Questionnaire
Dance of the Knights,Prokofiev,Instrumental,0.172,0.159,0,-16.377,1,0.0529,0.818,0.121,0.393,0.151,184.221,342813,3,4gaWbVsdmvsNHktWWg9qcq,https://open.spotify.com/track/4gaWbVsdmvsNHktWWg9qcq,audio_features,spotify:track:4gaWbVsdmvsNHktWWg9qcq,https://api.spotify.com/v1/tracks/4gaWbVsdmvsNHktWWg9qcq,https://api.spotify.com/v1/audio-analysis/4gaWbVsdmvsNHktWWg9qcq,https://youtu.be/DUmq1cpcglQ?t=7,4
Finale from William Tell Oberture,Rossini,Instrumental,0.304,0.517,4,-13.83,1,0.041,0.894,0.813,0.0939,0.604,156.766,197000,4,7g70vYlhVXPM083SqT7dSR,https://open.spotify.com/track/7g70vYlhVXPM083SqT7dSR,audio_features,spotify:track:7g70vYlhVXPM083SqT7dSR,https://api.spotify.com/v1/tracks/7g70vYlhVXPM083SqT7dSR,https://api.spotify.com/v1/audio-analysis/7g70vYlhVXPM083SqT7dSR,,
Strange Fruit,Billie Holiday,Jazz,0.313,0.0437,6,-22.627,1,0.0315,0.989,0.148,0.209,0.0625,100.827,192867,1,1CTex49P0iWwzUGsMNjgaV,https://open.spotify.com/track/1CTex49P0iWwzUGsMNjgaV,audio_features,spotify:track:1CTex49P0iWwzUGsMNjgaV,https://api.spotify.com/v1/tracks/1CTex49P0iWwzUGsMNjgaV,https://api.spotify.com/v1/audio-analysis/1CTex49P0iWwzUGsMNjgaV,https://youtu.be/Web007rzSOI?t=8,2
So What,Miles Davis,Jazz,0.517,0.151,0,-17.266,1,0.0373,0.705,0.00136,0.116,0.21,136.356,562640,4,4vLYewWIvqHfKtJDk8c8tq,https://open.spotify.com/track/4vLYewWIvqHfKtJDk8c8tq,audio_features,spotify:track:4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/tracks/4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/audio-analysis/4vLYewWIvqHfKtJDk8c8tq,https://youtu.be/ylXk1LBvIqU?t=90,4
Dizzy Gillespie,A night in Tunisia,Jazz,0.478,0.459,7,-8.586,0,0.0586,0.882,0.0174,0.115,0.623,175.424,185507,4,2iYHPl8WczwjAGS2ERz7a0,https://open.spotify.com/track/2iYHPl8WczwjAGS2ERz7a0,audio_features,spotify:track:2iYHPl8WczwjAGS2ERz7a0,https://api.spotify.com/v1/tracks/2iYHPl8WczwjAGS2ERz7a0,https://api.spotify.com/v1/audio-analysis/2iYHPl8WczwjAGS2ERz7a0,,
In a Sentimental Mood,Duke Ellington,Jazz,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.231,255227,4,0E8q2Fx2XuzXCO2NSAppkR,https://open.spotify.com/track/0E8q2Fx2XuzXCO2NSAppkR,audio_features,spotify:track:0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/tracks/0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/audio-analysis/0E8q2Fx2XuzXCO2NSAppkR,https://youtu.be/sCQfTNOC5aE?t=15,10
Body and Soul,Billie Holiday,Jazz,0.435,0.0901,8,-15.469,1,0.0582,0.809,0.0000119,0.101,0.221,178.85,378400,3,7c7yHHFdYkqBzS1DG3UIFq,https://open.spotify.com/track/7c7yHHFdYkqBzS1DG3UIFq,audio_features,spotify:track:7c7yHHFdYkqBzS1DG3UIFq,https://api.spotify.com/v1/tracks/7c7yHHFdYkqBzS1DG3UIFq,https://api.spotify.com/v1/audio-analysis/7c7yHHFdYkqBzS1DG3UIFq,https://youtu.be/AXnQeb0rgpU?t=5,3
Never Let Me Go,Stacey Kent,Jazz,0.435,0.0946,4,-20.698,1,0.0388,0.944,0.00173,0.104,0.128,110.911,278267,4,4FCwx5XYXU5WQhfstq7Hdq,https://open.spotify.com/track/4FCwx5XYXU5WQhfstq7Hdq,audio_features,spotify:track:4FCwx5XYXU5WQhfstq7Hdq,https://api.spotify.com/v1/tracks/4FCwx5XYXU5WQhfstq7Hdq,https://api.spotify.com/v1/audio-analysis/4FCwx5XYXU5WQhfstq7Hdq,https://youtu.be/R4ovuq4veR4?t=15,6
I Wish I Could Go Travelling Again,Stacey Kent,Jazz,0.667,0.343,10,-12.173,0,0.0337,0.847,0.000116,0.155,0.499,131.891,246947,4,2ACkUuj4c8BAYn6OT8rJhI,https://open.spotify.com/track/2ACkUuj4c8BAYn6OT8rJhI,audio_features,spotify:track:2ACkUuj4c8BAYn6OT8rJhI,https://api.spotify.com/v1/tracks/2ACkUuj4c8BAYn6OT8rJhI,https://api.spotify.com/v1/audio-analysis/2ACkUuj4c8BAYn6OT8rJhI,https://youtu.be/O07nxVSuGPU,4
9 Million Bycicles,Katie Melua,Jazz,0.534,0.247,0,-15.636,1,0.0322,0.516,0.00859,0.122,0.344,82.168,197160,4,0xQdisF8CHkso4LnJcaIMr,https://open.spotify.com/track/0xQdisF8CHkso4LnJcaIMr,audio_features,spotify:track:0xQdisF8CHkso4LnJcaIMr,https://api.spotify.com/v1/tracks/0xQdisF8CHkso4LnJcaIMr,https://api.spotify.com/v1/audio-analysis/0xQdisF8CHkso4LnJcaIMr,,
