Age,Gender,Your top 3 preferred music genres,Does your current activity demand your concentration,How are you feeling right now about your level of Happiness,How are you feeling right now about your level of Energy,How do you think listening to this song could affect your level of Happiness,How do you think listening to this song could affect your level of Energy,Song,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id_Spotify,Link_Spotify,Link_YouTube
31,Male,"Blues,Hard Rock,Jazz","yes, my full concentration",very happy,with some energy,I get happier,I keep the same,Strange Fruit,Billie Holiday,Jazz,0.313,0.0437,6,-22.627,1,0.0315,0.989,0.148,0.209,0.0625,100.827,192867,1,1CTex49P0iWwzUGsMNjgaV,https://open.spotify.com/track/1CTex49P0iWwzUGsMNjgaV,https://youtu.be/Web007rzSOI?t=8
38,Female,"Dance,Hard Rock,Rock",some concentration,happy,neutral,I keep the same,I keep the same,Mr. Brightside,The Killers,Rock,0.355,0.918,1,-4.36,1,0.0746,0.00119,0,0.0971,0.24,148.114,222200,4,3n3Ppam7vgaVa1iaRUc9Lp,https://open.spotify.com/track/3n3Ppam7vgaVa1iaRUc9Lp,https://youtu.be/gGdGFtwCNBE?t=5
21,Female,"Blues,Dance,Hard Rock",some concentration,happy,neutral,I get happier,I feel with more energy,Wake Me Up,Avicii,Dance,0.518,0.784,2,-5.659,1,0.0524,0.00346,0.00187,0.171,0.588,124.102,247427,4,4h8VwCb1MTGoLKueQ1WgbD,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,https://youtu.be/IcrbM1l_BoI?t=6
53,Female,"Dance,Instrumental-Classical,Pop","yes, my full concentration",not so happy,with some energy,I get happier,I get more relaxed,Strangers in the Night,Frank Sinatra,Vocal,0.229,0.494,5,-8.22,1,0.0311,0.638,0,0.217,0.526,80.092,157867,4,74VR3AkGPhbYXnxcOYa16x,https://open.spotify.com/track/74VR3AkGPhbYXnxcOYa16x,https://youtu.be/h5h_EW4odWw?t=11
38,Male,"Dance,Pop,Rock",some concentration,happy,calm,I get happier,I keep the same,Thinking Out Loud,Ed Sheeran,Pop,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4,34gCuhDGsG4bRPIf9bb02f,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,https://youtu.be/lp-EO5I60KA?t=9
23,Female,Dance,some concentration,happy,calm,I get happier,I feel with more energy,Happy,Pharrell Williams,Pop,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,232720,4,5b88tNINg4Q4nrRbrCXUmg,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,https://youtu.be/ZbZSe6N_BXs?t=7
47,Male,"Instrumental-Classical,Jazz,Pop",some concentration,happy,with a lot of energy,I get happier,I keep the same,Volare,Domenico Mondugno,Vocal,0.542,0.108,10,-12.87,1,0.0423,0.97,0.0000399,0.255,0.494,129.172,214853,4,71hIekopkrYCGgggsBOpVG,https://open.spotify.com/track/71hIekopkrYCGgggsBOpVG,https://youtu.be/7wWiC0e3b2I?t=10
20,Female,"Dance,Pop,Rock",some concentration,very happy,with some energy,I keep the same,I get more relaxed,Yellow,Cold Play,Pop,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.00013,0.234,0.285,173.365,266773,4,3AJwUDP919kvQ9QcozQPxg,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://youtu.be/yKNxeF4KMsY?t=27
26,Male,"Blues,Hard Rock,Pop",some concentration,not so happy,calm,I get happier,I feel with more energy,Sin Pijama,Becky G,Reggaeton,0.791,0.745,11,-3.695,0,0.0464,0.354,0.0000293,0.104,0.82,94.014,188560,4,2ijef6ni2amuunRoKTlgww,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,https://youtu.be/zEf423kYfqk?t=25
57,Male,"Dance,Latin,Pop","yes, my full concentration",very happy,with some energy,I get happier,I get more relaxed,What a Wonderful World,Louis Armstrong,Jazz,0.271,0.165,5,-20.652,1,0.0351,0.729,0.0000016,0.118,0.203,77.082,139227,4,29U7stRjqHU6rMiS8BfaI9,https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9,https://youtu.be/p-T6aaRV9HY?t=19
35,Female,"Jazz,Pop,Rock","yes, my full concentration",happy,neutral,I get happier,I feel with more energy,La Bicicleta,Shakira & Carlos Vives,Reggaeton,0.736,0.964,0,-2.147,1,0.129,0.198,0.00000232,0.336,0.953,179.935,227707,4,0sXvAOmXgjR2QUqLK1MltU,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,https://youtu.be/-UV0QGLmYys?t=13
41,Female,"Instrumental-Classical,Pop,Vocal",some concentration,very happy,with some energy,I get happier,I feel with more energy,Persiana Americana,Soda,Rock,0.574,0.938,4,-4.98,0,0.0466,0.0164,0.0000476,0.0804,0.512,100.93,295000,4,4iPA2yB8bK7T770EkkOi7s,https://open.spotify.com/track/4iPA2yB8bK7T770EkkOi7s,https://youtu.be/WSUU_iB9iH8?t=17
36,Male,"Pop,Reggaeton,Rock",some concentration,happy,neutral,I keep the same,I get more relaxed,Somebody That I Used To Know,Gotye & Kimbra,Pop,0.857,0.517,0,-6.972,1,0.0384,0.565,0.000195,0.102,0.754,129.063,244973,4,4wCmqSrbyCgxEXROQE6vtV,https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV,https://youtu.be/8UVNT4wvIGY?t=19
25,Female,"Instrumental-Classical,Jazz,Pop",some concentration,not so happy,calm,I keep the same,I keep the same,Body and Soul,Billie Holiday,Jazz,0.435,0.0901,8,-15.469,1,0.0582,0.809,0.0000119,0.101,0.221,178.85,378400,3,7c7yHHFdYkqBzS1DG3UIFq,https://open.spotify.com/track/7c7yHHFdYkqBzS1DG3UIFq,https://youtu.be/AXnQeb0rgpU?t=5
28,Female,"Instrumental-Classical,Jazz,Pop",some concentration,happy,neutral,I keep the same,I feel with more energy,1901,Phoenix,Rock,0.607,0.835,0,-5.427,1,0.0415,0.0588,0.0000471,0.195,0.719,144.087,193120,4,1mvyqSb1tOvtVP1qfWEyPa,https://open.spotify.com/track/1mvyqSb1tOvtVP1qfWEyPa,https://youtu.be/HL548cHH3OY?t=20
